date,home_team,away_team,game_id,opening_total,closing_total,actual_total_runs,over_hit,total_diff_vs_line,home_runs_per_game_L10,away_runs_per_game_L10,home_team_ops_L10,away_team_ops_L10,home_hr_per_game_L10,away_hr_per_game_L10,home_team_era_L10,away_team_era_L10,home_team_whip_L10,away_team_whip_L10,home_sp_era,away_sp_era,home_sp_whip,away_sp_whip,home_sp_k_per_9,away_sp_k_per_9,temperature,wind_speed_mph,wind_direction,is_day_game,is_domed_stadium,ballpark_run_factor,line_movement,combined_offense_L10,combined_era_L10,sp_era_average,offensive_advantage
2024-04-05,BAL,TEX,20240405_TEX_BAL,11.0,11.0,12,1,1.0,4.8,5.6,0.72,0.783,1.6,1.4,4.03,3.66,1.39,1.23,4.38,5.73,1.19,1.61,9.2,10.3,48,3,Cross,0,0,1.05,0.0,10.399999999999999,3.845,5.055,0.20300000000000007
2024-04-05,SF,WSN,20240405_WSN_SF,8.0,9.0,6,0,-3.0,4.8,4.9,0.738,0.75,1.0,1.1,4.04,4.05,1.37,1.38,4.88,5.26,1.4,1.07,9.2,9.5,82,9,Cross,0,0,0.88,1.0,9.7,4.045,5.07,0.18799999999999994
2024-04-05,DET,CIN,20240405_CIN_DET,9.0,9.0,9,0,0.0,4.9,4.5,0.771,0.729,1.3,1.4,4.2,4.57,1.38,1.42,5.01,4.37,1.38,1.67,7.2,11.8,81,4,Calm,1,0,1.0,0.0,9.4,4.385,4.6899999999999995,0.19999999999999996
2024-04-05,BAL,SD,20240405_SD_BAL,11.5,12.0,15,1,3.0,5.4,5.2,0.834,0.69,1.2,1.2,3.42,4.53,1.22,1.34,4.62,5.28,1.09,1.68,10.5,8.5,92,20,In,1,0,1.05,0.5,10.600000000000001,3.975,4.95,0.22399999999999998
2024-04-05,OAK,BAL,20240405_BAL_OAK,8.0,8.0,4,0,-4.0,4.7,4.4,0.722,0.754,1.3,1.0,4.98,4.55,1.32,1.38,4.12,3.55,1.6,1.4,7.4,11.4,64,11,Calm,0,0,0.85,0.0,9.100000000000001,4.765000000000001,3.835,0.17599999999999993
2024-04-06,WSN,SEA,20240406_SEA_WSN,11.0,11.5,8,0,-3.5,5.5,4.9,0.777,0.744,1.5,1.2,3.82,4.54,1.28,1.53,5.14,2.86,1.43,1.3,8.7,9.6,70,11,Out,0,0,1.0,0.5,10.4,4.18,4.0,0.22099999999999986
2024-04-06,WSN,TOR,20240406_TOR_WSN,9.0,8.5,8,0,-0.5,4.9,4.5,0.755,0.738,1.1,0.7,4.19,5.34,1.32,1.41,5.55,5.76,1.45,1.56,11.5,10.2,53,12,In,0,0,1.0,-0.5,9.4,4.765000000000001,5.654999999999999,0.19299999999999984
2024-04-06,NYY,STL,20240406_STL_NYY,10.0,9.5,13,1,3.5,5.0,5.2,0.771,0.745,1.4,0.8,4.1,4.26,1.4,1.27,4.08,3.29,1.36,1.11,7.1,9.0,66,18,Out,1,0,1.02,-0.5,10.2,4.18,3.685,0.21599999999999997
2024-04-06,NYM,LAA,20240406_LAA_NYM,10.5,10.5,8,0,-2.5,6.3,5.1,0.771,0.746,1.3,1.0,3.13,3.68,1.18,1.41,4.14,4.69,1.3,1.67,9.5,7.8,81,11,In,1,0,1.0,0.0,11.399999999999999,3.4050000000000002,4.415,0.21699999999999986
2024-04-06,NYY,OAK,20240406_OAK_NYY,11.0,10.5,9,0,-1.5,5.3,5.7,0.763,0.829,1.6,1.7,3.91,3.24,1.21,1.24,4.78,3.33,1.08,1.19,10.3,11.1,87,8,Out,1,0,1.02,-0.5,11.0,3.575,4.055,0.29200000000000004
2024-04-07,TEX,LAA,20240407_LAA_TEX,13.0,13.0,13,0,0.0,5.9,6.0,0.777,0.799,1.6,1.3,3.77,3.68,1.25,1.29,5.21,3.77,1.69,1.18,11.8,10.7,51,11,Cross,1,0,1.08,0.0,11.9,3.725,4.49,0.276
2024-04-07,COL,OAK,20240407_OAK_COL,11.5,12.0,15,1,3.0,5.0,5.2,0.726,0.764,0.9,1.4,4.74,4.23,1.3,1.33,2.54,2.98,1.72,1.7,9.6,9.6,78,4,Out,0,0,1.15,0.5,10.2,4.485,2.76,0.18999999999999995
2024-04-07,BOS,MIN,20240407_MIN_BOS,11.0,11.0,10,0,-1.0,6.0,4.5,0.812,0.712,1.6,1.4,3.52,4.81,1.12,1.42,4.39,3.07,1.67,1.68,11.7,6.9,76,9,Out,0,0,1.03,0.0,10.5,4.165,3.7299999999999995,0.22399999999999998
2024-04-07,TEX,CLE,20240407_CLE_TEX,11.5,12.0,12,0,0.0,4.9,6.0,0.733,0.75,1.0,1.4,4.53,3.94,1.42,1.18,5.56,5.06,1.65,1.53,10.2,11.1,57,10,Cross,1,0,1.08,0.5,10.9,4.235,5.31,0.18300000000000005
2024-04-07,ATL,LAA,20240407_LAA_ATL,10.0,10.0,9,0,-1.0,5.4,5.1,0.807,0.742,1.5,1.3,3.91,4.01,1.27,1.19,4.76,4.78,1.29,1.45,8.9,11.3,72,9,Cross,0,0,0.97,0.0,10.5,3.96,4.77,0.2489999999999999
2024-04-08,PIT,SF,20240408_SF_PIT,11.0,11.0,13,1,2.0,4.9,6.0,0.775,0.789,1.6,1.3,3.87,2.91,1.35,1.25,5.94,5.19,1.33,1.34,10.4,7.4,51,7,In,1,0,1.0,0.0,10.9,3.39,5.565,0.264
2024-04-08,CHC,COL,20240408_COL_CHC,8.0,8.5,5,0,-3.5,4.0,4.4,0.711,0.676,1.2,1.1,4.79,4.55,1.44,1.48,5.41,2.92,1.04,1.31,6.2,11.7,86,16,In,0,0,1.0,0.5,8.4,4.67,4.165,0.08699999999999997
2024-04-08,CIN,TB,20240408_TB_CIN,10.5,10.5,10,0,-0.5,5.7,4.2,0.812,0.754,1.3,1.0,3.84,4.69,1.28,1.52,2.8,3.93,1.3,1.21,10.3,9.0,49,4,Out,0,0,1.01,0.0,9.9,4.265000000000001,3.365,0.266
2024-04-08,SEA,CWS,20240408_CWS_SEA,11.0,10.0,14,1,4.0,6.1,5.6,0.773,0.763,1.3,1.2,3.79,3.68,1.25,1.27,5.86,4.13,1.7,1.0,10.9,7.4,90,0,In,1,1,0.92,-1.0,11.7,3.7350000000000003,4.995,0.236
2024-04-08,COL,CWS,20240408_CWS_COL,12.5,11.5,13,1,1.5,6.2,5.0,0.828,0.766,1.5,1.2,3.69,4.03,1.27,1.23,5.76,2.86,1.75,1.55,6.4,7.8,80,1,In,0,0,1.15,-1.0,11.2,3.8600000000000003,4.31,0.2939999999999998
2024-04-09,COL,ATL,20240409_ATL_COL,12.5,12.0,12,0,0.0,6.1,5.4,0.794,0.733,1.6,1.6,3.03,3.73,1.15,1.26,5.28,4.93,1.18,1.07,10.1,9.9,59,19,Calm,0,0,1.15,-0.5,11.5,3.38,5.105,0.2270000000000001
2024-04-09,BOS,KC,20240409_KC_BOS,11.0,11.0,11,0,0.0,4.8,6.3,0.766,0.753,1.0,1.3,5.11,2.94,1.45,1.22,5.89,3.15,1.37,1.0,9.6,9.6,57,11,Calm,1,0,1.03,0.0,11.1,4.025,4.52,0.21900000000000008
2024-04-09,CIN,SEA,20240409_SEA_CIN,9.0,8.5,12,1,3.5,4.7,4.3,0.696,0.758,1.3,1.3,4.18,4.25,1.39,1.29,4.66,4.96,1.45,1.01,8.0,9.1,49,7,Out,0,0,1.01,-0.5,9.0,4.215,4.8100000000000005,0.15399999999999991
2024-04-09,CLE,COL,20240409_COL_CLE,12.0,11.0,12,1,1.0,5.5,5.6,0.772,0.799,1.6,1.7,4.04,3.7,1.29,1.28,5.24,4.64,1.39,1.53,9.3,9.6,84,10,Cross,1,0,1.0,-1.0,11.1,3.87,4.9399999999999995,0.27100000000000013
2024-04-09,STL,SD,20240409_SD_STL,10.5,11.0,12,1,1.0,4.2,5.6,0.724,0.809,1.7,1.4,4.4,3.91,1.38,1.26,4.88,2.75,1.02,1.21,8.8,11.2,81,15,Calm,0,0,1.0,0.5,9.8,4.155,3.815,0.23299999999999987
2024-04-10,PHI,NYM,20240410_NYM_PHI,9.5,10.0,10,0,0.0,5.1,5.2,0.779,0.79,1.4,1.5,3.8,3.61,1.4,1.31,3.33,5.22,1.32,1.48,9.8,8.2,71,8,In,0,0,1.0,0.5,10.3,3.705,4.275,0.2689999999999999
2024-04-10,CIN,LAA,20240410_LAA_CIN,9.0,9.0,13,1,4.0,4.8,5.0,0.707,0.78,1.1,1.4,4.38,4.21,1.38,1.25,3.68,5.4,1.34,1.2,9.7,10.2,53,3,Out,0,0,1.01,0.0,9.8,4.295,4.54,0.18700000000000006
2024-04-10,CIN,SD,20240410_SD_CIN,13.0,12.5,12,0,-0.5,5.5,6.5,0.735,0.777,1.3,1.3,4.09,3.53,1.44,1.28,3.89,4.18,1.55,1.01,7.9,11.8,74,5,Cross,1,0,1.01,-0.5,12.0,3.8099999999999996,4.035,0.21199999999999997
2024-04-10,SF,CHC,20240410_CHC_SF,8.0,7.5,11,1,3.5,5.6,4.4,0.79,0.713,1.5,0.9,3.9,5.22,1.33,1.44,4.5,2.61,1.74,1.55,10.1,7.3,78,8,Out,0,0,0.88,-0.5,10.0,4.56,3.5549999999999997,0.20300000000000007
2024-04-10,OAK,NYY,20240410_NYY_OAK,10.0,10.0,4,0,-6.0,5.1,6.2,0.749,0.794,0.9,1.2,4.64,3.85,1.4,1.27,4.02,5.36,1.1,1.44,6.0,7.9,63,8,Out,0,0,0.85,0.0,11.3,4.245,4.6899999999999995,0.2430000000000001
2024-04-11,TB,SF,20240411_SF_TB,9.0,10.0,10,0,0.0,4.4,5.0,0.697,0.789,1.1,1.3,4.91,3.72,1.47,1.23,3.88,4.42,1.6,1.57,9.1,10.9,67,18,Out,1,1,0.95,1.0,9.4,4.315,4.15,0.18599999999999994
2024-04-11,CHC,SF,20240411_SF_CHC,8.5,9.0,8,0,-1.0,4.4,4.4,0.712,0.684,1.2,1.3,4.68,4.29,1.33,1.5,3.95,2.93,1.14,1.54,7.1,9.2,80,2,In,0,0,1.0,0.5,8.8,4.484999999999999,3.4400000000000004,0.09599999999999986
2024-04-11,SF,TEX,20240411_TEX_SF,7.5,8.0,9,1,1.0,4.5,4.9,0.733,0.704,0.9,1.1,4.96,4.82,1.46,1.55,3.39,3.56,1.59,1.68,10.0,10.9,83,3,Cross,0,0,0.88,0.5,9.4,4.890000000000001,3.475,0.1369999999999998
2024-04-11,STL,CHC,20240411_CHC_STL,9.5,9.0,10,1,1.0,4.8,4.8,0.674,0.703,1.3,0.7,4.86,4.87,1.47,1.43,3.92,4.0,1.57,1.55,11.9,6.8,50,14,In,0,0,1.0,-0.5,9.6,4.865,3.96,0.07699999999999996
2024-04-11,TOR,TB,20240411_TB_TOR,9.5,10.5,8,0,-2.5,5.3,4.4,0.762,0.729,1.1,1.2,3.93,4.63,1.45,1.42,3.31,4.1,1.15,1.04,8.3,8.2,95,9,Calm,1,0,1.0,1.0,9.7,4.28,3.705,0.19100000000000006
2024-04-12,ARI,CLE,20240412_CLE_ARI,9.5,9.0,8,0,-1.0,4.9,4.9,0.712,0.746,0.9,1.2,4.92,4.56,1.47,1.31,2.83,3.4,1.63,1.69,9.7,9.0,53,1,Calm,1,0,1.0,-0.5,9.8,4.74,3.115,0.15799999999999992
2024-04-12,DET,PIT,20240412_PIT_DET,9.0,10.0,10,0,0.0,4.9,4.1,0.761,0.777,1.3,1.3,4.15,4.44,1.37,1.38,5.54,5.32,1.63,1.24,6.5,8.4,54,14,In,0,0,1.0,1.0,9.0,4.295,5.43,0.238
2024-04-12,MIN,MIL,20240412_MIL_MIN,10.0,9.0,14,1,5.0,4.6,5.6,0.712,0.766,1.4,0.6,4.43,4.03,1.37,1.33,4.58,5.78,1.7,1.22,11.1,6.0,46,12,Cross,0,1,1.0,-1.0,10.2,4.23,5.18,0.17799999999999994
2024-04-12,MIN,CIN,20240412_CIN_MIN,10.0,10.5,12,1,1.5,4.6,5.3,0.737,0.722,1.5,1.5,4.26,4.07,1.37,1.33,4.8,5.47,1.58,1.63,8.4,9.9,63,11,In,1,1,1.0,0.5,9.899999999999999,4.165,5.135,0.15900000000000003
2024-04-12,BOS,CWS,20240412_CWS_BOS,11.0,11.0,8,0,-3.0,5.5,5.9,0.748,0.754,1.4,1.3,3.96,3.95,1.29,1.22,4.76,4.25,1.21,1.12,6.8,11.2,57,13,Cross,0,0,1.03,0.0,11.4,3.955,4.505,0.20199999999999996
2024-04-13,SF,PHI,20240413_PHI_SF,10.5,11.0,13,1,2.0,6.3,5.3,0.763,0.769,1.5,1.6,3.99,4.16,1.23,1.3,4.65,2.73,1.41,1.12,10.4,9.1,79,1,Out,1,0,0.88,0.5,11.6,4.075,3.6900000000000004,0.23199999999999998
2024-04-13,NYM,BAL,20240413_BAL_NYM,10.0,11.0,10,0,-1.0,5.2,4.9,0.736,0.76,1.5,0.8,3.95,4.31,1.39,1.37,5.24,3.3,1.78,1.53,6.1,7.5,58,1,Out,0,0,1.0,1.0,10.100000000000001,4.13,4.27,0.19599999999999995
2024-04-13,SD,CWS,20240413_CWS_SD,10.5,10.5,12,1,1.5,6.4,5.5,0.809,0.78,1.4,1.1,3.21,3.47,1.31,1.26,5.8,3.34,1.1,1.16,11.3,9.9,59,16,Cross,0,0,0.9,0.0,11.9,3.34,4.57,0.2889999999999999
2024-04-13,KC,CHC,20240413_CHC_KC,11.5,12.0,7,0,-5.0,5.6,5.6,0.795,0.766,1.3,1.6,4.05,3.94,1.22,1.24,2.82,5.88,1.39,1.12,8.1,8.5,83,15,Cross,0,0,1.0,0.5,11.2,3.995,4.35,0.2609999999999999
2024-04-13,ARI,CLE,20240413_CLE_ARI,10.5,11.0,12,1,1.0,5.5,4.5,0.791,0.693,1.6,1.0,3.91,4.26,1.3,1.51,3.16,3.74,1.63,1.44,6.0,10.6,47,15,In,0,0,1.0,0.5,10.0,4.085,3.45,0.18399999999999994
2024-04-14,STL,HOU,20240414_HOU_STL,12.0,12.0,10,0,-2.0,5.5,5.4,0.799,0.806,1.1,1.8,4.18,3.28,1.29,1.17,2.83,4.56,1.38,1.51,6.4,9.5,73,11,In,1,0,1.0,0.0,10.9,3.7299999999999995,3.695,0.30499999999999994
2024-04-14,WSN,NYM,20240414_NYM_WSN,11.0,11.0,10,0,-1.0,5.7,4.8,0.763,0.737,1.1,1.0,3.75,4.93,1.27,1.43,5.3,5.18,1.59,1.24,7.0,9.8,70,4,Cross,0,0,1.0,0.0,10.5,4.34,5.24,0.19999999999999996
2024-04-14,ATL,BAL,20240414_BAL_ATL,8.5,9.5,6,0,-3.5,4.6,4.4,0.721,0.73,1.0,0.9,4.8,4.23,1.37,1.23,2.97,2.78,1.58,1.4,8.6,10.4,83,3,Calm,0,0,0.97,1.0,9.0,4.515000000000001,2.875,0.15100000000000002
2024-04-14,CHC,PIT,20240414_PIT_CHC,9.0,8.5,13,1,4.5,4.1,4.5,0.696,0.732,1.2,1.0,5.27,4.42,1.46,1.36,2.62,2.72,1.73,1.11,9.2,8.5,62,18,In,0,0,1.0,-0.5,8.6,4.845,2.67,0.1279999999999999
2024-04-14,CHC,TEX,20240414_TEX_CHC,11.5,11.0,5,0,-6.0,5.7,6.3,0.765,0.79,1.2,1.2,3.56,4.29,1.26,1.23,4.41,5.93,1.18,1.32,9.3,10.8,72,12,In,0,0,1.0,-0.5,12.0,3.925,5.17,0.2550000000000001
2024-04-15,ATL,CLE,20240415_CLE_ATL,11.0,11.0,11,0,0.0,6.0,4.7,0.751,0.745,1.6,1.2,3.77,4.24,1.26,1.38,3.41,3.08,1.26,1.61,9.1,7.2,89,18,Calm,0,0,0.97,0.0,10.7,4.005,3.245,0.19599999999999995
2024-04-15,CIN,TB,20240415_TB_CIN,10.0,11.0,14,1,3.0,5.5,5.2,0.811,0.762,1.7,1.2,3.08,4.21,1.24,1.4,4.72,5.29,1.32,1.73,9.2,6.9,80,16,Cross,1,0,1.01,1.0,10.7,3.645,5.005,0.2729999999999999
2024-04-15,HOU,NYY,20240415_NYY_HOU,9.0,9.5,11,1,1.5,5.7,4.1,0.747,0.717,1.1,1.3,4.06,4.94,1.33,1.44,3.63,5.99,1.78,1.52,6.8,10.1,50,1,Calm,0,1,0.98,0.5,9.8,4.5,4.8100000000000005,0.16399999999999992
2024-04-15,PHI,HOU,20240415_HOU_PHI,11.0,11.5,12,1,0.5,5.9,4.8,0.727,0.716,1.6,1.2,3.61,4.31,1.32,1.42,2.85,3.34,1.11,1.28,8.7,10.5,78,12,In,1,0,1.0,0.5,10.7,3.96,3.0949999999999998,0.14300000000000002
2024-04-15,NYY,CHC,20240415_CHC_NYY,10.5,10.5,10,0,-0.5,5.3,4.6,0.79,0.699,1.3,0.8,4.3,4.6,1.26,1.47,5.33,2.71,1.72,1.52,11.2,6.0,53,8,In,0,0,1.02,0.0,9.899999999999999,4.449999999999999,4.02,0.18899999999999983
2024-04-16,KC,COL,20240416_COL_KC,9.0,9.5,7,0,-2.5,5.0,4.3,0.756,0.715,1.4,1.4,4.4,5.55,1.31,1.58,3.26,2.92,1.05,1.21,6.3,9.4,59,16,Out,1,0,1.0,0.5,9.3,4.975,3.09,0.17100000000000004
2024-04-16,TOR,MIN,20240416_MIN_TOR,11.0,10.5,11,1,0.5,6.0,5.5,0.799,0.752,1.4,1.2,3.49,3.98,1.26,1.35,2.9,2.83,1.73,1.54,11.0,11.3,74,10,Cross,1,0,1.0,-0.5,11.5,3.7350000000000003,2.865,0.2510000000000001
2024-04-16,MIL,SEA,20240416_SEA_MIL,11.5,11.0,8,0,-3.0,6.1,5.4,0.778,0.75,1.6,1.1,3.51,3.75,1.26,1.34,2.51,2.64,1.48,1.73,7.4,8.8,68,9,Cross,1,1,1.0,-0.5,11.5,3.63,2.575,0.22799999999999998
2024-04-16,SF,KC,20240416_KC_SF,7.0,7.5,4,0,-3.5,4.2,4.0,0.702,0.723,0.6,1.0,4.84,5.09,1.49,1.44,2.9,3.71,1.41,1.7,9.0,10.2,95,3,In,0,0,0.88,0.5,8.2,4.965,3.3049999999999997,0.12499999999999978
2024-04-16,MIN,CHC,20240416_CHC_MIN,10.0,10.5,10,0,-0.5,5.0,5.1,0.738,0.777,1.3,1.1,4.71,4.28,1.42,1.25,4.42,5.65,1.32,1.26,10.5,8.5,77,13,Cross,0,1,1.0,0.5,10.1,4.495,5.035,0.21500000000000008
2024-04-17,PIT,LAA,20240417_LAA_PIT,10.5,10.5,6,0,-4.5,5.8,5.3,0.753,0.758,2.0,1.3,3.09,4.11,1.28,1.34,5.46,4.92,1.34,1.54,7.7,7.8,84,9,In,0,0,1.0,0.0,11.1,3.6,5.1899999999999995,0.21100000000000008
2024-04-17,STL,SEA,20240417_SEA_STL,11.0,10.5,9,0,-1.5,5.7,4.2,0.8,0.648,1.2,1.0,3.53,4.92,1.24,1.37,3.83,2.52,1.31,1.63,9.6,6.6,87,11,Calm,0,0,1.0,-0.5,9.9,4.225,3.175,0.1479999999999999
2024-04-17,CIN,PIT,20240417_PIT_CIN,11.0,11.0,12,1,1.0,5.0,5.9,0.746,0.789,1.2,1.8,4.36,3.46,1.37,1.19,4.61,5.39,1.79,1.23,11.8,8.3,64,7,Calm,1,0,1.01,0.0,10.9,3.91,5.0,0.2350000000000001
2024-04-17,CHC,CWS,20240417_CWS_CHC,10.5,10.5,12,1,1.5,5.9,5.1,0.784,0.706,1.2,1.3,3.78,4.78,1.26,1.32,6.0,3.03,1.65,1.17,10.7,10.4,60,7,Calm,1,0,1.0,0.0,11.0,4.28,4.515,0.18999999999999995
2024-04-17,NYM,BAL,20240417_BAL_NYM,11.0,12.0,8,0,-4.0,5.3,5.2,0.745,0.725,1.1,1.3,4.1,4.23,1.33,1.44,5.52,4.56,1.3,1.23,7.2,10.6,64,10,Out,0,0,1.0,1.0,10.5,4.165,5.039999999999999,0.16999999999999993
2024-04-18,CWS,WSN,20240418_WSN_CWS,10.5,9.5,13,1,3.5,5.3,5.7,0.738,0.741,1.1,1.1,4.27,3.81,1.42,1.34,4.76,5.37,1.27,1.59,9.2,10.8,95,4,In,0,0,1.0,-1.0,11.0,4.04,5.0649999999999995,0.17900000000000005
2024-04-18,PIT,BAL,20240418_BAL_PIT,10.5,9.5,12,1,2.5,5.8,4.7,0.797,0.724,1.4,1.3,3.86,4.44,1.26,1.4,3.92,2.73,1.28,1.09,10.8,11.7,49,19,Cross,0,0,1.0,-1.0,10.5,4.15,3.325,0.22099999999999986
2024-04-18,CWS,ATL,20240418_ATL_CWS,9.0,9.0,11,1,2.0,5.4,4.9,0.754,0.703,0.9,0.9,4.09,4.49,1.35,1.42,5.45,4.42,1.18,1.03,7.3,8.5,83,4,Cross,0,0,1.0,0.0,10.3,4.29,4.9350000000000005,0.1569999999999998
2024-04-18,MIA,CHC,20240418_CHC_MIA,10.0,10.0,10,0,0.0,5.7,4.8,0.771,0.748,1.1,1.1,3.72,4.83,1.2,1.41,2.97,4.7,1.04,1.6,7.9,6.0,71,1,Calm,0,1,0.93,0.0,10.5,4.275,3.835,0.21900000000000008
2024-04-18,HOU,BAL,20240418_BAL_HOU,9.5,8.5,13,1,4.5,6.0,4.1,0.798,0.725,1.1,0.8,3.64,4.92,1.25,1.46,5.45,4.87,1.11,1.2,11.3,7.1,59,3,Calm,0,1,0.98,-1.0,10.1,4.28,5.16,0.2230000000000001
